Treatment,Number_Ants,Team,Temp,Time_Step,Time
Control,17,B,33.18,Baseline 1,-2
Experimental,63,B,32.57,Baseline 1,-2
Control,28,B,33.16,Baseline 2,-1
Experimental,51,B,33.46,Baseline 2,-1
Control,40,B,34.02,Baseline 3,0
Experimental,70,B,35.22,Baseline 3,0
Control,43,B,34.29,Observation 1,1
Experimental,44,B,34.92,Observation 1,1
Control,33,B,32.78,Observation 2,2
Experimental,51,B,32.94,Observation 2,2
Control,44,B,32.96,Observation 3,3
Experimental,26,B,33.37,Observation 3,3
Control,28,B,34.49,Observation 4,4
Experimental,33,B,35.9,Observation 4,4
Control,31,B,33.63,Observation 5,5
Experimental,28,B,35.2,Observation 5,5
Control,82,C,32.67,Baseline 1,-2
Experimental,151,C,31.12,Baseline 1,-2
Control,123,C,31.52,Baseline 2,-1
Experimental,166,C,31.21,Baseline 2,-1
Control,108,C,31.12,Baseline 3,0
Experimental,175,C,31.36,Baseline 3,0
Control,104,C,30.71,Observation 1,1
Experimental,77,C,31.52,Observation 1,1
Control,115,C,30.31,Observation 2,2
Experimental,104,C,30.76,Observation 2,2
Control,106,C,29.95,Observation 3,3
Experimental,104,C,30.71,Observation 3,3
Control,83,C,30.17,Observation 4,4
Experimental,93,C,30.71,Observation 4,4
Control,71,C,30.31,Observation 5,5
Experimental,114,C,30.71,Observation 5,5
Control,46,A,28.37,Baseline 1,-2
Experimental,17,A,27.3,Baseline 1,-2
Control,31,A,32.43,Baseline 2,-1
Experimental,35,A,31.56,Baseline 2,-1
Control,23,A,32.94,Baseline 3,0
Experimental,23,A,34.24,Baseline 3,0
Control,24,A,32.29,Observation 1,1
Experimental,39,A,33.27,Observation 1,1
Control,29,A,31.89,Observation 2,2
Experimental,49,A,32.6,Observation 2,2
Control,22,A,31.59,Observation 3,3
Experimental,34,A,32.21,Observation 3,3
Control,26,A,31.67,Observation 4,4
Experimental,36,A,32.54,Observation 4,4
Control,22,A,31.8,Observation 5,5
Experimental,27,A,32.83,Observation 5,5
Control,75,D,34.28,Baseline 1,-2
Experimental,66,D,34.66,Baseline 1,-2
Control,103,D,33.29,Baseline 2,-1
Experimental,94,D,34.03,Baseline 2,-1
Control,101,D,32.94,Baseline 3,0
Experimental,98,D,33.94,Baseline 3,0
Control,110,D,32.58,Observation 1,1
Experimental,126,D,33.71,Observation 1,1
Control,99,D,31.9,Observation 2,2
Experimental,44,D,32.81,Observation 2,2
Control,101,D,31.5,Observation 3,3
Experimental,34,D,32.21,Observation 3,3
Control,118,D,31.9,Observation 4,4
Experimental,35,D,32.56,Observation 4,4
Control,107,D,31.99,Observation 5,5
Experimental,40,D,32.93,Observation 5,5
